portugues,tupi_antigo
"Transgride também o homem aquela palavra de Deus invocando para seu próximo, bem em seu coração, o diabo ou a morte ou Jurupari?",Oîaby bépe abá aîpó Tupã nhe'enga o py'ape-katu o apixara supé Anhanga koîpó te'õ koîpó Îurupari rekyîa?
Hei de ser bom,Xe katupe ká
"Tataurana, traze aqui tua muçurana!","Tataûrana, eru ké nde musurana!"
o que vai à roça,kopîasoara
Sei mais que tu,Aîkuab-eté nde suí
"Atiras nele, o dia todo, as palavras mentirosas",Nhe'ẽ-porangu ereîapi ko'arapukuî
Esse homem e sua esposa gastaram todas as suas riquezas,Kó abá semirekó abé opá o mba'e mombabi
Que o mates para mim diante do pajé ruim,T'ereîuká ixébe paîé-aíba supé
esse outro,kûé amõaé
antigo jazigo,tupagûera
Pelo chão também escorreu seu sangue?,Yby rupi bépe sugûy syryki?
os que devem ser honrados,i moetepyra
filhote de cão,îagûara'yra
Padeci acidentes,Amanõmanõ
Desviei as águas,Aty-mombîá
"Conta todos os teus pecados, sendo forte",Eîmombe'u pakatu nde angaîpagûera nde ratãngaturamo
"Após fazer a São João Batista, seu primo, batizá-lo",São João Batista o i'yra pé onhemoîasuk-ukar'iré
Os homens reconheceram-no como Deus verdadeiro?,Abá Tupãetéramo sekokuabi?
Contando as maldades escondidas de alguém para quem não as conhece,Abá angaîpá-nhemima i kuapare'yma supé mombegûabo
Quem é o inimigo da gente?,Abápe asé sumarã?
pintura dele,i kûatiara
"Eu tenho palavras pesadas (isto é, sérias, com pesadas reflexões)",Xe nhe'ẽposyî
Rocei,Aka'anupã
"Ah, como desejo aquela mulher casada!",Aîpotá-te kûé kunhã-mendara mã!
"águas tranquilas, bonança",y-katu
Os cabos são achatados,Yba i peb
Reconciliei-os um com o outro,Anhonongatu o îoupé
Não lhe quis fazer mal o neném compadecedor,Nd'îaîmomarã-potari pitangĩ-moraûsubara
"vão oco de alguma coisa, o vazio do meio de alguma coisa",apyterybỹîa
Com uma lança espetaram seu flanco,Minusu pupé iî yké kutuki
A partilha entre si de suas obras por Deus,Tupã resé marã o ekó o îoupé moîa'oîa'okaba
És um nenenzinho,Pitangĩnamo ereîkó
"Fi-lo apresador de mim (isto é, deixei-me vencer por ele)",Aîmoembiaryîar ahẽ xe îoesé
"Ó! Isso não seria possível contar, ainda que o sol se pusesse!","Tó! Aîpó n'i papasabi, kûarasymo oîké îepémo!"
De modo algum,-N'asé ruã-tepe o emi'urama oîmonhang? - Aani - Mas não é a gente que faz sua comida?
Há de ser o substituto de meu pai,Xe ruba rekobîara é re'ĩ
Para onde a multidão numerosíssima levou Nosso Senhor da casa de Caifás após o amanhecer?,Mamõpe erimba'e te'yî-katupabẽ Îandé Îara rerasóû Kaiphás roka suí ko'em'iré?
"Guarda-te, após conhecer essa lei, de ter má vida","Eteumẽ, aîpó tekó kuab'iré, tekó-poxy rerekóbo"
Eis que até mesmo contra Deus murmura,Tupã resé tiruã kó nhe'enga reîtyki
"Aquela lei nova, quem será que a trouxe?",Aîpó tekó-pysasu abá serã ogûeru?
Eu sou temporão,Xe ranhẽ
Eu sou arisco,Xe resaeté
Faze estar muito longamente esta aldeia em Deus,Eîmoingó-puku-katu kó taba Tupã resé
ajuntamento de pedras,itá re'yîa
"Oh! Que há aqui, na verdade, semelhante a um canindé azul?","To! Anhẽ, mba'epe ké kanindé-oby îasûara?"
Ela tem folhas,Sob
Assa-me o Lourenço tostado,Xe resy Lorẽ-ka'ẽ
Haveria de morrer certamente a criança de mim após eu querer comer caça,Omanõ îepémo pitanga xe suí ixé so'o 'useî tenhẽ roîrémo re'ĩ
Lacei-lhe as pernas,Aîkupyîurar
Não foi a meu pai que o dei,Na xe ruba supé ruã aîme'eng
Diante deles passei,Sobabo akûab
"Quando tu vieste, já o tinha matado",Nde rureme aîuká umûan
Que o tivesse visto!,Asepîak me'ĩmo!
"Caem, às vezes, os frutos das suas árvores, sendo ainda flores",Okuî rakó amũme 'ybarambûera o 'yba suí ybotyramo oîkóbo bé
Que deteste muito o diabo,T'aroŷrõngatu anhanga
Parece voar,Obebé-berame'ĩ
"Por causa de sua esposa, o marido dela não temeu comê-lo","Ogûemirekó resé, i mena nd'o'u-poûsubi"
"Que a Maria alegremos, a lei do diabo repelindo","Maria t'îambory, Anhanga rekó reîyîa"
"Mas não pode a gente, de modo nenhum, contar o procedimento oculto de alguém?",Nd'e'ikatu angáî-tepe asé abá rekó-nhemima mombegûabo?
Maltratando-o todos os seus súditos,O boîaetá pabẽ serekomemûãmo
"Ah, sobra-me alegria","Té, xe resemõ toryba"
Digo a verdade,Anheté a'é
Eu sou garrido,Xe arũaíb
"Assim tratada, uma pessoa certamente chega bem",Emonã serekopyra rakó abá obasẽ-porang
Choremos sempre,T'oroîase'o memẽ
palavras vãs,nhe'ẽ-tenhẽa
A fala de fulano repreendeu-me,Xe momotîasó ahẽ nhe'enga
Estão sempre cheias as igaçabas,Tynysẽ memẽ ygasaba
desde minha vinda,xe rura agûerabé
ajuntamento de canas-de-flecha,u'ubá-tyba
porca fêmea,taîasu-kunhã
"Obedeceu, enfim, Pilatos à sua palavra, então?",Osapîápe Pilatos i nhe'enga a'ereme ko'yté?
Minha casa está escura,I pytun xe roka
serra braceira,ybyrakytĩabusu
"carreirão, caminho pequeno para quem vai a pé",pé-mirĩ
Amarrei-me o cabelo,Aîe'a-maman
Faça-se tua vontade,T'onhemonhang nde remimotara
"primeiro filho do homem, primogênito",ta'yrypy
"Estão felizes os anjos, festejando este dia","Sory karaibebé, ikó 'ara momoranga"
Podem casar-se um com o outro?,E'ikatupe o îoesé omendá?
Lamentando terem nascido de suas mães,O sy suí o 'aragûera moasŷabo
os que se compadecem de nós,îandé poreaûsubokara
"Vai para prová-los, pois, para que transgridam a palavra de Deus","Eîori sa'anga, rõ, t'otupã-nhe'engaby"
"Antigamente frequentavas nossa terra, amando-a","Akûeîme eresapekó oré retama, saûsupa"
"Que amemos a mãe de Deus, por ela interessando-nos","Tupã sy t'îasaûsu, sesé îanhemoryryîa"
Minha lei é muito bela,Xe rekó i porangeté
Que pareçam juntar-se como um só,T'oîese'ar-y berame'ĩ oîepekaturamo
Piorei muito de meu grande pecado,Aîerekoaíbeté xe angaîpá-katu suí
"Todo o céu preenches, o mar e a terra firme também","Opá ybaka ereîmopó, paranã, yby abé"
Derrubei-o,Aîaparaîtyk
"Imaginai, em vossa morte, estardes vós deitados",Peîmo'ang pe re'õ pupé pe ruba
ouvir o sermão do padre,abaré nhe'ẽnhe'enga renduba
Compadeceste-te de tua mãe e de teu pai?,"Eresaûsubápe nde sy, nde ruba?"
"Detestando-os muito, tratai-los muito mal","I amotare'ym-etébo, perekó-aí-aí"
Há de estar (assim como está)?,E'i nhẽpe oîkóbone?
"Eis que percebendo isso, deixei ontem minha casa","Kó anga andupa, aseîá kûesé xe roka"
Deveria mandá-lo,Aîmondó-monẽmo
"Tão logo indo eu, ele veio",Xe só abé turi
"Que sejamos corajosos, sim, suportando as coisas dolorosas","T'oré pyatã, angá, mba'easy porarábo"
"Oxalá eu esteja muito bela, para que os homens me desejem","Xe porangeté temomã, a'emo abá xe potari"
"em baixo, na lájea",ybype
Atiça o fogo para o que cozinhas,Esatapy nde remimõîa
desinteresse pela lei de Deus,Tupã rekó resé nhemoryryîe'yma
Aoba -Marãba'e? -Pykasu-aba -Que trouxeste dentro de tua caixa? -Roupas -De que tipo? -De pena de pomba,-Mba'epe ereru nde karamemûã pupé?
"Para confortar tua alma, nós o ficamos abraçando","Nde 'anga moapysykápe, oroîaîubã-îubã"
Foste à roça no domingo ou em algum dia de guarda?,Erekopîasópe domingo koîpó 'areté amõ pupé?
Atrás de uma cerca feita de pedras tomou a casa dos animais de criação como sua pousada,Ybyrá itá monhangymbyra kupépe so'o mimbaba roka ogûâr gûupabamo
Eu sou muito perebento,Xe peré-pereb
Esse homem e sua esposa também fizeram acabar todas as suas riquezas,Kó abá semirekó abé opá o mba'e mombabi
"A terra também, então, agitando-se, tremendo","Yby abé a'ereme onhemonguébo, oryryîane"
Barreei a casa com terra,Oka aîyby-apetek
Por isso mesmo eles não se deleitam com as boas coisas,Nd'e'i te'e mba'e-katu resé oîekosube'yma
Tu tiveste excitação com teu amante?,-Nde regûyrõpe nde agûasá resé?
Por acaso todos os que estavam ali ficaram a injuriá-lo?,Opabenhẽ serã erimba'e a'epe tekoara iî a'o-îa'oû?
Afasta o diabo deste dia em diante,Eîpe'a Îurupari kó 'ara suí
Deixei-o pela metade,Aîmoagûé
Amortalhei-os,Aîapyear
Tapei-lhe a boca,Aîputupyk
maltratar a seu próximo,o apixara rerekoaíba
"Embora seja vinho, tão logo pronuncie o padre as palavras de Nosso Senhor Jesus Cristo, é seu sangue, na verdade","Kaûĩ biãaûîé, Îandé Îara Îesu Cristo nhe'engûera abaré sa'angireme, sugûyramo nhẽ sekóû"
enquanto ele não vem,ture'yma pukuî
Faz-me sair sempre da aldeia o padre,Xe mosẽ memẽ taba suí abaré
Como o fogo do diabo o fogo dele é penoso?,Anhanga ratá îabépe satá rasyramo?
É muito má a vontade destas vossas presas,I angaîpab-eté kó pe rembiá potasaba
Agradando-se com o que o hospeda,O apysykamo o momytasara ri
Quem Deus fez primeiro como habitantes do céu?,Abá ranhẽpe erimba'e Tupã oîmonhang-ypy ybaka porama?
"Depois disso, o cauim transbordante nas igaçabas atrai-os","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
"O diabo te agasta, de ti tendo medo","Anhanga nde moabaîté, nde suí osykyîébo"
Descarrega-a a ele,Eroîyb ahẽ supé
"Eia, que eu vá!",Ene'ĩ t'asóne!
Hei de ir obedecer a essas palavras,T'asó aîpó nhe'enga mopó
Eu fui rendido,Xe aûîé
por ocasião de meu retorno,xe atimandápe
Fui uma vez,Oîepé asó
Comeste objeto de furto de alguém?,Ere'upe abá mondarõagûera?
"Mas foi, porventura?",Osó ruã-tepe é?
Eu estou poento,Xe yî
Arruinei a todos,Aîmomoxy pabenhẽ
Estes habitantes da aldeia sob minhas mãos estavam,Kó tabygûara xe pó gûyrybo sekóû
Eis aqui meu arco,Kobé xe îurupara
Já se juntaram por causa disso muitos moços bebedores de cauim,Onheŷnhang umã sesé kunumĩetá kagûara
Façamo-lo cair conosco no fogo para fazê-lo queimar conosco,Îaro'a tatá pupé serokaîa
Ele tomou os traços dos olhos de seu pai,Og uba resá ahẽ ogûar
Não pode alguém casar-se com seu parente verdadeiro?,Nd'e'ikatuîpe abá o anameté resé omendá?
"Eu sou cristão, eu sou virtuoso","Xe cristão, xe karaí"
Espalham pelas aldeias homens que pregam às pessoas,Apŷaba abá mombegûara oîmosãî taba rupi
Para o alto do chamado Monte das Oliveiras levou sua mãe e seus discípulos,Ybytyra Olivete seryba'e apyterybo o sy o boîá rerasóû
enfeites do rosto,tobá posanga
Eu tenho o rosto curubento,Xe robá-kurub
baliza do caminho,pé kugûapaba
Que vades regozijar-vos com o que é desejado,Ta pesó peîekosupa i potarypyra ri
Temo por ele,Aronheangu
"Eis que com seu corpo deve estar sua divindade, nos pedacinhos também, inteiramente","I Tupã irũmo bé kó seté rekóû, pesembûeri pupé bé gûetépe-katu re'a"
"Haveria de morrer, na verdade, antes de se batizar",Omanõ îepémo oîemongaraíb'e'ymebé re'a
"intervalo de água, ilha",y-pa'ũ
Não pode o que não é padre fazer as coisas assim?,Nd'e'ikatuîpe abaréramo oîkoe'ymba'e emonã tekó monhanga?
O que manda a um falso pajé ficar defumando a si,Paîea'uba supé onhemotimbó-timborukaryba'e
Eu sou risonho,Xe nhearõ
O que não é morto,Miîukae'yma
Eu sou travesso,Xe resakûé-kûé
"lit, tromba comprida, gorgulho, inseto coleóptero",tĩmuku
"Deus te fez viver, guardando-te, não somente por uma semana, não somente por um ano, mas por muitos anos","Nde moingobé Tupã, nde rerekóbo n'oîepé îasy nhõ ruã, n'oîepé seîxu nhõ ruã, setá nhẽ seîxu-te"
"Apresso-me hoje, por causa da tua fama","Xe apuãnamo kori, nde rerapûana resé"
Se tu não endureceres teu coração,Nde nhy'ã nde i moatãnhẽe'ỹme
Eu sou inchado,Xe susu'a
"Eu, o diabão assado",Xe anhangusu-mixyra
"Imediatamente, de seu próximo eles se vingam, chacoteando-os","Aûnhenhẽ o apixarĩ îepyki, i kurapa"
"Ficaste bêbado de cauim, perdendo o juízo?","Eresabeyporype kaûĩ suí, 'ara mokanhema?"
"Haveis de vos consolar muito futuramente, após acabar a batalha",Ta peapysyketé irã marana pab'iré
Para o desaparecimento dos vestígios da transgressão da palavra de Deus,Tupã nhe'enga abŷagûera rakypûera kanhemagûama resé
O que tem relações sexuais com uma solteira transgride muito a palavra de Deus,Mene'yma resé oîkoba'e oîaby-eté Tupã nhe'enga
Fiquei-o apedrejando,Aîapi-api
Curaste os doentes,Eremombûeîrá mara'abora
"Esse, enfim, não é diferente da cobra",Aîpoba'e-tene n'oîabyî mboîa
E finalmente?,Tépe?
o que manda matá-lo,i îuká-ukasara
"Os habitantes do céu, mais ainda, estão bem felizes",Ybaka porá-tene sory-porang
Zune como o vento,Ybytu îabé osunung
Não! Estou bêbado,Aanumẽne! Asabeypó
Temos algum remédio como meio de nos curarmos?,Îarekópe mosanga amõ îandé pûerasabamo?
Sei fazer isso,A'ekatu eboûinga resé
Logo o vento se levantará,Koromõ ybytu pu'amine
"Ai, que enfadonho és tu, de fato!",Tekatunheté rakûé endé hegûy!
Hei de ir contigo hoje,T'asó nde pyri kori
não matando,îukae'yma
"No meio do caminho, meninos assaltaram-me mesquinhamente","Pé ku'ape, kunumĩ pu'ama'ubi xe ri"
Eu chorei até ficar com olhos avermelhados,Xe resaapytãpytang
"Tão logo ao ouvir o nome dela, em outra parte eu me escondo",Serenduba rupibé amongoty xe nhemimi
"Isso é que deve ser bem amado, isso verdadeiramente","Aîpó saûsukatupyra, aîpó anhẽ"
fininho,po'i'i
"Deus parece obter descanso, como se fazer quaisquer coisas fosse cansaço de Deus",Mutu'u resé Tupã îekosu-berame'ĩ Tupã kane'õ mba'e tetiruã monhanga îaramẽ
"Vamos (ou passamos) sucessivamente, uns atrás dos outros",Oroîeoî
"Se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus, tanto mais o que perverte uma casada ou o que se atrai por ela","Mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîaby-eté Tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
Vem para te compadeceres de nós,"Eîori, oré raûsubá"
"Não encontrei nem um pouquinho, absolutamente, algum ato deste homem no mal",N'abasẽ-mirĩ-angáî marãbirĩ ikó abá rekopûera amõ supé
"Fui ao encontro do meio das águas (isto é, para o alto-mar)",Y pytera asopenhan
var de peneira,urupemusu
Que as veja logo,T'asepîak taûîé!
"meu pai, o que me gerou (para não haver confusão com outros parentes que também eram chamados tuba)",xe ruba xe monhangara
Fiz gaiola para eles,Asokaîmonhang
"Mas sempre, com certeza, a vossas almas querem bem, aformoseando-as","Memẽ-te nipó pe 'anga amotá, i moaysóbo"
Ferrei-o,Aîpyapasamoín
Que tu dês para nós teu belo filho,Nde t'ereîme'eng orébo nde membyporanga
companheiro dele,i irũ → irũ
Guarda-te de o levares,Teumẽ teké serasóbo nhandu ruã
Salteio,Aporero'ar
Eu sou libertina,Xe resaeté
Deixo-o levar,Arasó-ukar
Eu não estou sendo fantasioso,Na xe poranguî gûitekóbo
Embora eu já tivesse ido,Îepémo xe só umani
"Fi-lo por fazer (sem algum fim, sem mais, porque quis)",Aîmonhangĩ nhẽ
"Tocaste nas partes erógenas de uma mulher, atraindo-te por ela?",Erepokokype kunhã rapupé resé sesé enhemomotá?
"Eis-me aqui, eis que aqui estou",Aîkó
cume de casa,okapyra
"Ó meu filhinho, em um momento desapareceste de mim!","Xe membyrĩ mã, korite'ĩ-aíb-eté erekanhem xe suí"
Os que estão achegados a ti,Nde resé serosypyra
"detrás da casa, atrás da casa",ó-kupépe
nosso anjo da guarda,îandé karaibebé
Eu brilho,Xe rendy
Derrubei as folhas dela,Aîmonguî soba
este outro,kó amoaé
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume, as ondas fazendo grande estrondo",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé yapenunga ryapugûasuramo
"Espremeste-te após alguém fazer sexo contigo, não querendo filhos?",Ereîeamĩpe nde resé abá rekó riré nde memby-potare'ymamo?
Eu sou de bom semblante,Xe resakûanhyrõ
Eu gemo dormindo,Xe keraíb
Lembrai-vos das almas dos defuntos,Penhemoma'enduar ambyra 'angûera
Experimentemos a força dos homens conosco,T'isa'ang apŷaba marã îandé irũ
Estou com ele,Irũnamo aîkó
Eu tenho pés tortos,Xe are'a
"Igualmente a morte está entre os moços e entre os velhos, não longe, mas nem por isso deixa de chegar às outras pessoas","Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé, napûeî, ndaroîaî amõ abá mopanemi"
Por isso mesmo as malditas correm,Nd'e'i te'e moxy onhana
Tenho vida boa,Tekó-katu arekó
Como que voando muito rapidamente,Korite'ĩ-aibeté obebébo berame'ĩ
o que é (ou deve ser) convidado,i xo'opyra
"Replico a Pero (isto é, respondo-lhe nos mesmos termos) Aînhe'ẽ-poepyk Pero - Replico as palavras de Pero",Aîpoepyk Pero
"Em tuas mãos sentando-se, vai o menino, por Deus-Pai fazendo-te curvar a cabeça","Nde pópe ogûapyka, osó kunumĩ, Tupã Tuba ri nde reroîeaŷbyka"
Que coisas quer o diabo?,Mba'e-mba'epe Anhanga oîpotar?
Nós somos muitos,Oré anangatu
o batizado,i moîasukypyra
Ofereci-lhes comida,Asemi'u-erekûab
Ficaram todos gritando por causa disso,Oposẽ-posẽ pabenhẽ sesé
"empenadura de flecha, isto é, penas de asas de pássaros que eram atadas às flechas",u'upepó
"Enfim, esses temiminós não acatam a lei de Deus","Aûîé, kó temiminõ nd'ogûari Tupã rekó"
"Estai com pranto, como modo de honrar o que entra para junto de vós",Îase'o rakó perekó peẽmo teîkeara moetesabamo
o Senhor Deus,Pa'i Tupã
"Muito a propósito comportei-me como filho de Deus, fazendo-me batizar","A'eboé Tupã ra'yramo anhemoingó re'a, gûinhemoîasukuká"
Este sonho é o modo de se reconhecer que ela é o que eu quero,Kó mosaûsuba xe remimotaramo sekó kuapaba
"Bebeste cauim, temendo tua embriaguez?","Ereka'upe, nde sabeypora reroangûabo nhẽ?"
A ira de Deus atrairás para ti mesmo,Tupã nhemoŷrõ nhẽ ereîxûé nde îoupéne
"encontros das asas, isto é, a parte superior delas, onde vão fazendo a volta e onde nascem as penas maiores",pepó-ypy
Fizeste sexo com uma mulher com alguém observando-o?,Ereîkópe kunhã resé abá remiandubamo?
Entregou-o bem em suas mãos,Oîme'eng i pópe-katu
"Ah, eu fui muito pecador!",Xe angaîpabeté'i ra'u mã!
Vai fartando a mim (a comida),Seby-sebykĩ ixébo
Afastaste teu filho e teu escravo de suas amantes?,"Ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
Pus-lhe penas,Aîpepó-moín
"O cauim transbordante nas igaçabas, depois disso, atrai-os","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
Para honrar a Deus,Tupã moeteagûama resé
Pelas minhas costas disseste isso,Xe kupébo aîpó eré
Lembrai-vos do que se sofre no inferno,Penhemoma'enduá Anhanga ratápe i porarapyra resé
"Existe meu auxiliar verdadeiro, o que trabalha junto de mim","Oîkobé xe pytybõanameté, xe pyri marãtekoara"
Assim dizem sempre,Nã e'i memẽ îepi
Deve ter ido,Osó ipó re'a
Faço-o ruim,Aîmoangaîpab
"Mas a ti, sobram-te galinhas e porcos","Endé-te, nde resemõ arinhama, taîasu"
